linguagem,caso,n,k,velocidade_media,desvio_padrao_velocidade
python,melhor,1000000,100,16784739.76654068,306898.7528296938
python,medio,1000000,1000000,5781402.050546644,76486.43593710678
python,pior,1000000,100000000,101353.62533581458,1996.288322598677
rust,melhor,1000000,100,1197389511.901224,69808758.5851367
rust,medio,1000000,1000000,96093644.01484217,6575812.375247673
rust,pior,1000000,100000000,3455598.254408135,212669.11892494184
