caso,n,k,python,rust,speedup_rust_vs_python
melhor,1000000,100,0.05959727,0.0008385833333333333,71.06898936698798
medio,1000000,1000000,0.17299778333333335,0.01045936,16.539997029773655
pior,1000000,100000000,9.870468386666666,0.29044107666666663,33.98440916122482
