linguagem,cenario_k,n,k,media_segundos,desvio_padrao,minimo,maximo,execucoes,complexidade_teorica,velocidade_elementos_por_segundo,constante_c,tempo_teorico_ajustado
python,k_pequeno,100000,100,0.0054541166666666665,0.000326355840364823,0.0050133,0.0067931,30,100100,18334774.65034057,9.385802776126812e-08,0.009395188578902938
python,k_igual_n,100000,100000,0.016236113333333333,0.0006141830754432418,0.0155258,0.0186181,30,200000,6159109.507735225,9.385802776126812e-08,0.018771605552253625
python,k_grande,100000,1000000,0.10406346666666666,0.0014265790980483727,0.1019567,0.1068592,30,1100000,960952.0343995204,9.385802776126812e-08,0.10324383053739493
rust,k_pequeno,100000,100,8.847e-05,4.8243027010879145e-06,8.54e-05,0.0001088,30,100100,1130326664.4060133,3.5573777755587656e-09,0.00035609351533343243
rust,k_igual_n,100000,100000,0.0005778033333333333,2.3568513234651747e-05,0.0005511,0.0006742,30,200000,173069268.09006527,3.5573777755587656e-09,0.0007114755551117532
rust,k_grande,100000,1000000,0.003961773333333333,0.00061478786469376,0.0036261,0.0071217,30,1100000,25241221.94438181,3.5573777755587656e-09,0.003913115553114642
