caso,n,k,media_speedup,desvio_padrao_speedup
melhor,1000000,100,47.35501050310517,11.166663895907833
medio,1000000,1000000,18.157515794630577,3.8603761400023613
pior,1000000,100000000,31.808460335507718,1.8556509948949613
