linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
python,melhor,media,10000,10000,21,0.001621600,True
python,melhor,media,10000,10000,22,0.001748600,True
python,melhor,media,10000,10000,23,0.001642600,True
python,melhor,media,10000,10000,24,0.001567000,True
python,melhor,media,10000,10000,25,0.001578500,True
python,melhor,media,10000,10000,26,0.001577600,True
python,melhor,media,10000,10000,27,0.001562500,True
python,melhor,media,10000,10000,28,0.001748200,True
python,melhor,media,10000,10000,29,0.001586000,True
python,melhor,media,10000,10000,30,0.001614100,True
python,medio,media,10000,10000,1,0.001658400,True
python,medio,media,10000,10000,2,0.001904600,True
python,medio,media,10000,10000,3,0.001672200,True
python,medio,media,10000,10000,4,0.001630700,True
python,medio,media,10000,10000,5,0.001941000,True
python,medio,media,10000,10000,6,0.001648900,True
python,medio,media,10000,10000,7,0.001724400,True
python,medio,media,10000,10000,8,0.002239200,True
python,medio,media,10000,10000,9,0.001828700,True
python,medio,media,10000,10000,10,0.001648000,True
python,medio,media,10000,10000,11,0.001661500,True
python,medio,media,10000,10000,12,0.001671200,True
python,medio,media,10000,10000,13,0.001627500,True
python,medio,media,10000,10000,14,0.001644700,True
python,medio,media,10000,10000,15,0.001624700,True
python,medio,media,10000,10000,16,0.001623500,True
python,medio,media,10000,10000,17,0.001703700,True
python,medio,media,10000,10000,18,0.001700600,True
python,medio,media,10000,10000,19,0.001652900,True
python,medio,media,10000,10000,20,0.001679500,True
python,medio,media,10000,10000,21,0.001674600,True
python,medio,media,10000,10000,22,0.001818400,True
python,medio,media,10000,10000,23,0.001687000,True
python,medio,media,10000,10000,24,0.001615200,True
python,medio,media,10000,10000,25,0.001659600,True
python,medio,media,10000,10000,26,0.001639800,True
python,medio,media,10000,10000,27,0.001649200,True
python,medio,media,10000,10000,28,0.001663000,True
python,medio,media,10000,10000,29,0.001684700,True
python,medio,media,10000,10000,30,0.001645700,True
python,pior,media,10000,10000,1,0.001579000,True
python,pior,media,10000,10000,2,0.001756800,True
python,pior,media,10000,10000,3,0.001836600,True
python,pior,media,10000,10000,4,0.001594200,True
python,pior,media,10000,10000,5,0.001556000,True
python,pior,media,10000,10000,6,0.001574700,True
python,pior,media,10000,10000,7,0.001576100,True
python,pior,media,10000,10000,8,0.001626500,True
python,pior,media,10000,10000,9,0.001596900,True
python,pior,media,10000,10000,10,0.001583000,True
python,pior,media,10000,10000,11,0.001564700,True
python,pior,media,10000,10000,12,0.001739000,True
python,pior,media,10000,10000,13,0.001695700,True
python,pior,media,10000,10000,14,0.001590300,True
python,pior,media,10000,10000,15,0.001578200,True
python,pior,media,10000,10000,16,0.001588400,True
python,pior,media,10000,10000,17,0.001538000,True
python,pior,media,10000,10000,18,0.001618400,True
python,pior,media,10000,10000,19,0.001548300,True
python,pior,media,10000,10000,20,0.001590300,True
python,pior,media,10000,10000,21,0.001541100,True
python,pior,media,10000,10000,22,0.001574800,True
python,pior,media,10000,10000,23,0.001571900,True
python,pior,media,10000,10000,24,0.001566900,True
python,pior,media,10000,10000,25,0.001585900,True
python,pior,media,10000,10000,26,0.001554000,True
python,pior,media,10000,10000,27,0.001551800,True
python,pior,media,10000,10000,28,0.001541700,True
python,pior,media,10000,10000,29,0.001610300,True
python,pior,media,10000,10000,30,0.001580500,True
python,melhor,grande,1000000,1000000,1,0.186074400,True
python,melhor,grande,1000000,1000000,2,0.196500700,True
python,melhor,grande,1000000,1000000,3,0.194636500,True
python,melhor,grande,1000000,1000000,4,0.194340100,True
python,melhor,grande,1000000,1000000,5,0.233807000,True
python,melhor,grande,1000000,1000000,6,0.208841600,True
python,melhor,grande,1000000,1000000,7,0.197108000,True
python,melhor,grande,1000000,1000000,8,0.199840200,True
python,melhor,grande,1000000,1000000,9,0.192931300,True
python,melhor,grande,1000000,1000000,10,0.190393100,True
python,melhor,grande,1000000,1000000,11,0.205379200,True
python,melhor,grande,1000000,1000000,12,0.212933300,True
python,melhor,grande,1000000,1000000,13,0.195385500,True
python,melhor,grande,1000000,1000000,14,0.191697400,True
python,melhor,grande,1000000,1000000,15,0.192994200,True
python,melhor,grande,1000000,1000000,16,0.191088500,True
python,melhor,grande,1000000,1000000,17,0.189739700,True
python,melhor,grande,1000000,1000000,18,0.207954800,True
python,melhor,grande,1000000,1000000,19,0.191311000,True
python,melhor,grande,1000000,1000000,20,0.196295000,True
python,melhor,grande,1000000,1000000,21,0.193924300,True
python,melhor,grande,1000000,1000000,22,0.235924400,True
python,melhor,grande,1000000,1000000,23,0.188313500,True
python,melhor,grande,1000000,1000000,24,0.184511800,True
python,melhor,grande,1000000,1000000,25,0.192244900,True
python,melhor,grande,1000000,1000000,26,0.191607800,True
python,melhor,grande,1000000,1000000,27,0.189539500,True
python,melhor,grande,1000000,1000000,28,0.203987700,True
python,melhor,grande,1000000,1000000,29,0.200537000,True
python,melhor,grande,1000000,1000000,30,0.189998000,True
python,medio,grande,1000000,1000000,1,0.259927800,True
python,medio,grande,1000000,1000000,2,0.291614600,True
python,medio,grande,1000000,1000000,3,0.327911700,True
python,medio,grande,1000000,1000000,4,0.362312100,True
python,medio,grande,1000000,1000000,5,0.306972300,True
python,medio,grande,1000000,1000000,6,0.307521600,True
python,medio,grande,1000000,1000000,7,0.338904000,True
python,medio,grande,1000000,1000000,8,0.315848600,True
python,medio,grande,1000000,1000000,9,0.329010100,True
python,medio,grande,1000000,1000000,10,0.456958700,True
python,medio,grande,1000000,1000000,11,0.380647500,True
python,medio,grande,1000000,1000000,12,0.394842800,True
python,medio,grande,1000000,1000000,13,0.492097000,True
python,medio,grande,1000000,1000000,14,0.369556700,True
python,medio,grande,1000000,1000000,15,0.339462200,True
python,medio,grande,1000000,1000000,16,0.339039900,True
python,medio,grande,1000000,1000000,17,0.325524700,True
python,medio,grande,1000000,1000000,18,0.346468600,True
python,medio,grande,1000000,1000000,19,0.376607800,True
python,medio,grande,1000000,1000000,20,0.361433500,True
python,medio,grande,1000000,1000000,21,0.360047100,True
python,medio,grande,1000000,1000000,22,0.366078200,True
python,medio,grande,1000000,1000000,23,0.370372600,True
python,medio,grande,1000000,1000000,24,0.304613200,True
python,medio,grande,1000000,1000000,25,0.312021300,True
python,medio,grande,1000000,1000000,26,0.316699100,True
python,medio,grande,1000000,1000000,27,0.316297900,True
python,medio,grande,1000000,1000000,28,0.332098100,True
python,medio,grande,1000000,1000000,29,0.368939300,True
python,medio,grande,1000000,1000000,30,0.336058200,True
python,pior,grande,1000000,1000000,1,0.250871800,True
python,pior,grande,1000000,1000000,2,0.245766100,True
python,pior,grande,1000000,1000000,3,0.261724100,True
python,pior,grande,1000000,1000000,4,0.223579100,True
python,pior,grande,1000000,1000000,5,0.249794200,True
python,pior,grande,1000000,1000000,6,0.229319600,True
python,pior,grande,1000000,1000000,7,0.236748600,True
python,pior,grande,1000000,1000000,8,0.228222800,True
python,pior,grande,1000000,1000000,9,0.251048200,True
python,pior,grande,1000000,1000000,10,0.238879500,True
python,pior,grande,1000000,1000000,11,0.258419500,True
python,pior,grande,1000000,1000000,12,0.250159400,True
python,pior,grande,1000000,1000000,13,0.241817500,True
python,pior,grande,1000000,1000000,14,0.246790100,True
python,pior,grande,1000000,1000000,15,0.280629600,True
python,pior,grande,1000000,1000000,16,0.274747900,True
python,pior,grande,1000000,1000000,17,0.316242500,True
python,pior,grande,1000000,1000000,18,0.299470000,True
python,pior,grande,1000000,1000000,19,0.315853800,True
python,pior,grande,1000000,1000000,20,0.285873900,True
python,pior,grande,1000000,1000000,21,0.323727900,True
python,pior,grande,1000000,1000000,22,0.260562800,True
python,pior,grande,1000000,1000000,23,0.251931400,True
python,pior,grande,1000000,1000000,24,0.254885000,True
python,pior,grande,1000000,1000000,25,0.258315200,True
python,pior,grande,1000000,1000000,26,0.224535000,True
python,pior,grande,1000000,1000000,27,0.232232900,True
python,pior,grande,1000000,1000000,28,0.223336900,True
python,pior,grande,1000000,1000000,29,0.221527900,True
python,pior,grande,1000000,1000000,30,0.222236600,True
