linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
rust,medio,media,10000,10000,2,0.000058500,true
rust,medio,media,10000,10000,3,0.000057400,true
rust,medio,media,10000,10000,4,0.000057300,true
rust,medio,media,10000,10000,5,0.000057200,true
rust,medio,media,10000,10000,6,0.000057600,true
rust,medio,media,10000,10000,7,0.000057200,true
rust,medio,media,10000,10000,8,0.000057500,true
rust,medio,media,10000,10000,9,0.000057600,true
rust,medio,media,10000,10000,10,0.000057300,true
rust,medio,media,10000,10000,11,0.000057500,true
rust,medio,media,10000,10000,12,0.000057600,true
rust,medio,media,10000,10000,13,0.000057600,true
rust,medio,media,10000,10000,14,0.000058800,true
rust,medio,media,10000,10000,15,0.000057700,true
rust,medio,media,10000,10000,16,0.000057500,true
rust,medio,media,10000,10000,17,0.000057200,true
rust,medio,media,10000,10000,18,0.000056400,true
rust,medio,media,10000,10000,19,0.000056900,true
rust,medio,media,10000,10000,20,0.000057800,true
rust,medio,media,10000,10000,21,0.000056900,true
rust,medio,media,10000,10000,22,0.000058100,true
rust,medio,media,10000,10000,23,0.000057300,true
rust,medio,media,10000,10000,24,0.000057300,true
rust,medio,media,10000,10000,25,0.000057300,true
rust,medio,media,10000,10000,26,0.000057000,true
rust,medio,media,10000,10000,27,0.000057400,true
rust,medio,media,10000,10000,28,0.000056300,true
rust,medio,media,10000,10000,29,0.000057100,true
rust,medio,media,10000,10000,30,0.000057100,true
rust,pior,media,10000,10000,1,0.000019700,true
rust,pior,media,10000,10000,2,0.000019600,true
rust,pior,media,10000,10000,3,0.000019600,true
rust,pior,media,10000,10000,4,0.000019700,true
rust,pior,media,10000,10000,5,0.000019700,true
rust,pior,media,10000,10000,6,0.000019500,true
rust,pior,media,10000,10000,7,0.000019800,true
rust,pior,media,10000,10000,8,0.000020300,true
rust,pior,media,10000,10000,9,0.000019700,true
rust,pior,media,10000,10000,10,0.000019700,true
rust,pior,media,10000,10000,11,0.000019600,true
rust,pior,media,10000,10000,12,0.000019500,true
rust,pior,media,10000,10000,13,0.000019500,true
rust,pior,media,10000,10000,14,0.000019500,true
rust,pior,media,10000,10000,15,0.000019800,true
rust,pior,media,10000,10000,16,0.000019700,true
rust,pior,media,10000,10000,17,0.000019600,true
rust,pior,media,10000,10000,18,0.000020600,true
rust,pior,media,10000,10000,19,0.000019800,true
rust,pior,media,10000,10000,20,0.000019700,true
rust,pior,media,10000,10000,21,0.000019900,true
rust,pior,media,10000,10000,22,0.000019700,true
rust,pior,media,10000,10000,23,0.000019700,true
rust,pior,media,10000,10000,24,0.000019700,true
rust,pior,media,10000,10000,25,0.000020100,true
rust,pior,media,10000,10000,26,0.000019700,true
rust,pior,media,10000,10000,27,0.000019700,true
rust,pior,media,10000,10000,28,0.000019700,true
rust,pior,media,10000,10000,29,0.000019600,true
rust,pior,media,10000,10000,30,0.000019700,true
