linguagem,cenario_k,n,k,media_segundos,desvio_padrao,minimo,maximo,execucoes,complexidade_teorica,constante_c,tempo_teorico_ajustado
python,k_pequeno,100000,100,0.006540026666666667,0.0009770968987818942,0.0053532,0.0084654,30,100100,1.0733637873153037e-07,0.01074437151102619
python,k_igual_n,100000,100000,0.02098288333333333,0.004116811232100292,0.0168546,0.0366549,30,200000,1.0733637873153037e-07,0.021467275746306073
python,k_grande,100000,1000000,0.11854068333333334,0.005536396056759206,0.1126963,0.1397286,30,1100000,1.0733637873153037e-07,0.1180700166046834
rust,k_pequeno,100000,100,0.00010544666666666666,5.377186633543048e-05,8.91e-05,0.0003786,30,100100,4.596595423380089e-09,0.00046011920188034685
rust,k_igual_n,100000,100000,0.0006297633333333334,8.334108347869192e-05,0.0005682,0.0009874,30,200000,4.596595423380089e-09,0.0009193190846760178
rust,k_grande,100000,1000000,0.005141176666666666,0.0006880774974813734,0.0040294,0.0063878,30,1100000,4.596595423380089e-09,0.005056254965718097
