caso,tamanho_label,n,python,rust,speedup_rust_vs_python
melhor,pequena,1000,0.00023574999999999998,3.6966666666666667e-06,63.773669972948596
melhor,media,10000,0.0017257700000000002,4.245333333333333e-05,40.65098932160805
melhor,grande,1000000,0.18400492666666668,0.005273003333333333,34.89565908359626
medio,pequena,1000,0.00023068666666666666,6.636666666666667e-06,34.75941737820191
medio,media,10000,0.00174376,7.846333333333333e-05,22.2238837673648
medio,grande,1000000,0.22809968666666666,0.015278706666666668,14.929253610471392
pior,pequena,1000,0.00017183333333333333,2.2266666666666664e-06,77.17065868263474
pior,media,10000,0.0016791233333333334,3.9546666666666665e-05,42.45928860418072
pior,grande,1000000,0.1765423633333333,0.006826669999999999,25.86068512661859
